marker_x,marker_z
0.273,7.710
0.132,6.856
1.147,6.605
1.096,6.451
0.623,6.221
1.616,6.269
0.568,7.576
1.790,7.579
1.488,9.230
0.722,9.713
0.457,9.727
0.459,8.499
1.085,9.970
0.108,8.163
1.049,8.854
0.189,8.518
1.783,8.466
0.293,8.250
1.863,8.160
0.094,8.117
0.673,9.829
0.797,8.866
1.892,9.674
1.068,9.684
1.387,8.795
0.518,8.009
1.051,9.910
0.797,8.482
1.171,8.510
1.368,9.891
0.871,9.780
0.014,9.882
1.203,9.572
1.153,8.285
0.445,8.766
0.009,8.836
0.164,9.320
1.710,8.130
1.622,9.324
1.383,9.605
1.060,9.371
0.286,9.379
1.456,9.555
0.062,9.737
1.289,9.413
0.171,9.104
1.896,8.118
0.550,8.290
1.964,9.240
0.584,9.845
0.735,9.389
0.437,8.312
0.481,9.043
1.805,8.213
1.805,8.883
0.160,9.564
0.344,9.949
1.552,11.741
0.421,10.913
0.008,11.501
0.228,10.809
0.622,11.985
0.077,10.504
0.379,10.495
0.307,11.241
1.771,11.878
0.391,11.559
1.291,11.314
1.818,10.911
1.843,11.328
0.302,11.273
1.139,10.844
1.886,11.081
1.157,11.073
0.511,10.794
0.701,10.073
1.591,10.393
0.141,10.779
1.181,10.142
0.395,10.312
1.289,10.909
1.209,11.395
0.883,11.369
0.793,11.671
1.184,10.399
1.899,11.752
0.783,11.975
0.371,11.791
1.149,10.884
1.255,11.417
0.099,10.571
0.520,10.815
1.791,11.420
1.457,11.792
0.787,10.795
1.808,10.617
0.776,11.141
0.707,11.467
1.491,11.473
1.479,10.279
0.400,10.545
1.361,11.822
0.736,11.035
0.219,11.815
0.406,11.036
1.310,10.877
1.375,12.181
0.159,12.152
0.056,12.710
0.614,13.395
0.285,12.790
0.136,13.351
1.450,12.397
1.388,13.231
1.310,13.088
0.197,13.091
0.099,13.949
0.928,13.940
1.456,13.062
1.360,13.386
0.744,12.777
0.100,13.620
0.339,12.122
0.621,13.569
0.425,12.644
0.969,12.018
0.880,13.016
1.212,13.517
0.802,12.700
1.685,13.885
1.247,13.995
0.107,13.126
1.727,12.774
0.613,12.568
0.053,13.225
0.782,12.037
0.062,12.911
1.716,13.874
0.804,13.455
1.223,13.617
1.751,13.165
1.190,12.158
1.586,12.924
1.181,13.179
1.138,13.632
1.345,12.687
0.020,12.535
0.683,12.464
1.542,12.743
1.740,12.234
1.451,13.258
1.788,12.366
1.071,13.804
1.560,13.930
0.395,13.803
1.595,15.907
1.698,15.781
1.257,14.371
1.234,14.530
0.501,15.464
1.576,14.342
1.428,14.962
0.163,15.613
1.711,14.249
0.615,15.147
0.946,15.524
0.384,15.456
1.990,14.031
1.295,15.383
0.348,14.144
0.550,15.353
1.678,15.113
0.742,15.559
0.465,15.276
0.463,14.409
1.942,14.563
0.046,15.538
0.304,14.094
0.018,14.697
1.288,14.686
0.829,14.833
0.181,15.090
1.399,14.676
1.315,15.752
1.071,15.140
0.108,14.932
0.520,14.854
1.727,14.973
0.175,15.132
1.419,15.557
1.728,15.701
0.586,15.729
1.290,15.494
1.657,15.531
1.744,15.817
1.825,15.044
0.880,14.215
0.708,15.646
0.855,14.340
0.002,15.315
1.547,14.127
0.180,14.771
1.368,15.615
0.308,14.286
0.097,16.692
0.037,17.957
1.295,16.107
1.828,17.275
0.863,16.042
0.485,16.784
1.308,17.564
0.046,17.652
0.277,17.269
1.101,17.967
0.927,16.430
0.601,17.564
0.685,16.961
1.216,16.205
1.969,17.512
0.302,16.913
1.423,17.997
1.551,17.283
1.242,17.892
1.376,16.580
1.134,16.581
1.096,17.425
0.493,17.093
0.985,17.904
1.340,17.530
1.247,16.892
1.598,17.491
1.978,16.409
1.259,17.820
1.183,17.837
1.011,16.979
0.899,17.779
1.881,16.366
0.504,16.406
1.461,17.882
1.250,16.083
1.283,16.069
1.113,17.089
0.893,16.123
1.992,16.256
1.202,16.101
0.346,17.320
0.665,16.632
1.307,16.821
0.855,16.443
1.357,16.333
0.995,17.015
1.605,16.870
0.009,16.679
0.752,18.257
1.655,19.467
1.782,19.287
1.301,19.029
1.468,19.474
1.914,18.932
0.727,18.224
1.809,19.642
0.910,18.217
1.739,19.523
0.078,18.833
1.872,18.136
0.330,18.423
0.234,19.182
0.237,19.237
1.160,19.381
1.463,19.831
1.339,18.597
1.618,18.756
1.995,19.545
0.409,18.341
0.777,18.362
1.162,18.391
1.920,18.381
0.763,18.608
0.242,18.396
0.092,19.542
1.522,19.762
0.004,18.897
0.853,19.603
0.923,18.990
1.499,18.477
1.119,18.185
1.844,19.788
1.714,18.119
0.982,19.264
1.494,19.512
0.511,19.820
1.584,18.399
1.106,18.102
1.044,19.581
1.408,18.048
1.463,19.107
1.828,19.751
1.594,18.611
0.790,18.964
0.105,19.304
0.002,19.537
1.512,18.439
2.310,0.115
3.341,0.065
2.692,1.396
3.596,0.873
3.963,1.271
2.591,0.954
3.749,0.159
2.202,0.286
2.286,1.836
2.617,0.748
3.628,0.093
3.628,0.480
3.796,0.513
2.539,0.416
2.459,1.692
3.750,1.775
3.690,1.219
2.082,0.347
2.368,0.712
2.899,0.370
3.789,1.246
3.093,1.823
3.045,1.461
3.999,1.939
3.735,1.680
2.293,0.749
2.569,0.342
3.948,1.484
3.433,0.062
3.290,1.625
3.472,1.636
2.249,1.438
2.750,1.300
3.831,1.779
2.064,1.547
2.898,0.015
2.457,0.837
2.313,1.838
3.003,0.486
3.509,1.813
2.427,0.064
3.542,0.456
3.113,1.613
3.704,0.663
3.078,1.984
3.739,1.294
2.455,1.626
2.742,0.734
2.070,1.123
2.796,2.240
2.650,3.798
2.403,3.880
2.250,3.699
3.788,2.891
2.444,3.270
3.120,3.248
2.847,2.033
3.728,2.279
2.535,2.584
3.363,3.123
3.918,3.214
3.576,2.845
3.637,3.479
2.272,3.033
2.040,2.014
3.497,2.668
3.804,2.925
3.536,2.101
3.262,2.048
3.365,3.938
3.001,3.413
2.532,3.645
3.293,3.194
2.527,3.688
2.920,3.496
2.703,2.029
2.953,3.253
2.808,2.767
2.055,2.578
3.194,3.768
2.864,3.863
2.766,3.066
2.020,3.948
3.730,2.875
3.399,2.666
3.205,2.997
3.119,2.078
2.756,2.466
3.875,3.719
3.928,3.218
3.168,2.153
2.814,2.611
2.997,2.160
3.750,2.609
3.563,3.866
3.177,2.432
2.559,3.121
3.749,2.500
2.603,5.454
3.733,4.462
2.381,4.894
3.781,5.149
2.058,5.990
2.118,5.238
2.514,4.340
2.232,4.463
2.990,5.920
2.099,4.159
2.675,4.559
3.031,4.981
2.825,5.849
3.202,4.584
2.952,4.803
3.903,5.097
3.670,5.589
3.603,5.186
3.740,4.636
3.878,4.536
3.887,5.438
2.255,5.550
2.946,4.352
2.053,4.083
2.910,5.725
2.272,4.029
2.426,5.637
3.594,5.559
3.317,4.597
3.563,5.843
3.684,4.485
2.998,4.046
2.151,4.062
2.712,5.431
2.820,4.361
2.596,4.364
3.490,4.269
2.116,5.051
2.718,5.613
2.318,5.800
2.264,4.058
2.363,5.636
2.498,5.141
2.694,5.080
3.330,5.742
3.865,5.891
2.210,4.306
3.116,5.601
3.790,4.145
3.745,7.645
2.777,7.098
3.344,6.902
2.563,7.899
3.964,7.456
3.190,6.545
2.264,6.396
3.201,6.975
2.711,6.460
2.957,7.384
3.896,7.342
3.965,6.475
3.027,6.472
3.796,6.969
2.653,7.075
3.142,6.673
2.696,6.338
2.580,6.439
3.846,7.479
3.614,7.301
3.373,6.540
3.534,6.129
3.444,7.718
2.683,6.089
2.969,6.042
3.676,7.237
3.081,7.208
3.137,7.555
3.280,7.393
3.520,7.736
2.316,6.847
3.573,6.043
2.877,6.084
3.013,6.539
2.137,6.490
3.964,7.013
3.231,6.142
2.735,7.911
3.720,6.675
2.484,6.579
2.102,7.985
2.345,6.138
2.440,6.602
3.574,7.299
2.167,6.526
2.273,6.435
3.125,6.357
3.265,6.214
2.907,7.518
2.668,8.115
2.565,9.389
3.747,9.135
3.737,8.162
3.591,9.999
3.270,9.238
3.190,9.186
2.389,9.958
2.463,8.085
2.478,8.510
2.814,9.590
2.545,9.800
2.759,9.455
2.413,8.106
3.209,8.708
2.722,9.336
3.952,8.447
3.792,8.694
3.907,9.330
2.403,8.565
2.711,9.064
2.582,8.440
2.199,8.213
3.419,9.688
3.344,9.638
2.012,8.983
3.209,9.871
2.581,9.212
3.494,9.748
3.824,9.660
3.212,8.610
3.568,8.300
3.085,9.378
2.789,9.986
2.204,8.823
2.055,9.375
2.518,8.338
2.457,8.378
3.724,9.527
2.095,8.966
2.112,9.922
2.170,9.131
3.925,9.148
3.757,8.817
2.806,8.827
3.317,9.647
3.890,8.566
2.004,9.233
2.099,9.312
2.844,11.909
3.208,10.402
2.829,10.681
3.246,11.617
2.010,10.211
2.789,10.554
2.634,11.648
3.707,10.623
2.395,11.129
2.938,11.990
2.866,10.737
2.838,10.770
3.161,11.755
2.675,10.787
3.902,11.018
2.837,11.217
3.554,10.167
2.302,10.416
2.175,10.635
2.944,11.258
2.666,10.159
3.229,10.286
2.561,11.650
2.878,11.989
2.442,10.215
3.038,10.529
2.015,11.153
3.541,10.215
3.938,10.739
3.808,11.043
2.445,10.605
2.957,10.621
2.829,11.529
3.683,10.778
2.855,11.448
3.470,10.183
2.163,11.506
3.694,11.276
2.719,10.950
2.189,10.831
2.377,10.686
3.827,10.459
2.621,10.309
2.683,10.365
2.545,10.412
2.345,10.671
2.131,11.004
3.927,11.619
2.893,11.826
2.359,12.964
2.944,13.398
2.497,13.873
2.555,12.599
3.645,13.639
3.260,13.590
2.014,12.522
2.579,13.906
3.719,13.035
3.415,12.512
3.842,12.983
2.187,13.652
2.153,12.565
2.768,13.287
3.030,12.863
2.281,13.950
2.149,12.010
3.830,12.823
3.511,12.375
2.203,12.846
3.356,13.055
3.648,13.674
2.543,12.999
3.741,12.298
3.942,13.077
2.441,12.133
2.409,12.395
2.386,12.399
3.914,13.187
3.478,12.589
3.360,13.572
3.843,13.857
3.689,12.518
2.211,12.124
3.808,12.297
3.786,12.719
3.913,12.763
2.663,13.369
3.775,12.760
2.867,13.349
2.534,12.966
3.056,13.604
3.588,13.493
2.973,13.656
3.118,12.558
2.694,12.108
3.823,13.526
2.737,12.565
2.422,12.649
2.100,15.763
2.498,14.808
2.290,15.751
3.216,15.567
2.394,14.903
3.524,14.867
3.273,15.609
2.349,14.645
3.926,15.419
2.395,15.726
2.095,15.486
2.072,14.262
2.165,15.105
3.138,15.066
2.438,14.154
2.609,14.129
2.823,14.267
2.503,15.641
3.018,14.537
3.976,15.833
2.243,14.569
3.414,14.942
2.589,14.689
3.050,15.622
3.034,14.135
3.658,15.109
2.207,15.019
3.893,15.446
2.948,14.903
3.838,15.098
2.731,15.769
3.319,14.245
3.015,14.225
2.560,15.093
3.583,14.738
3.716,15.489
2.928,14.719
2.884,15.172
2.758,15.264
3.115,14.965
3.673,14.371
2.019,14.219
2.081,14.444
2.512,14.821
3.415,14.885
2.266,15.088
3.714,15.613
2.437,15.848
2.627,14.286
3.214,16.021
3.911,17.074
2.774,16.025
2.474,17.771
3.185,16.305
2.033,17.070
3.833,17.305
2.449,16.811
3.932,16.194
2.799,17.012
2.671,16.657
3.251,16.502
2.580,17.067
3.797,16.956
2.656,17.349
2.921,17.166
2.826,17.845
2.242,17.329
2.297,16.495
2.223,16.204
3.379,17.653
2.981,16.907
3.307,16.837
3.280,16.198
3.661,16.737
3.756,17.040
3.925,16.789
3.451,17.261
2.748,17.627
3.705,16.128
3.487,16.725
2.471,17.638
3.567,16.548
3.126,16.349
2.248,17.514
2.828,16.559
2.342,17.088
2.482,16.637
2.450,17.316
3.397,17.340
3.287,16.112
2.659,17.904
2.641,16.615
2.326,16.737
2.553,17.922
2.472,16.522
3.250,17.512
3.166,16.542
3.424,16.676
3.428,18.043
3.401,19.261
2.253,19.440
2.762,19.048
3.728,19.184
2.990,18.062
3.344,19.107
2.699,19.145
3.529,18.045
2.001,19.094
3.496,18.564
3.588,19.670
3.448,18.593
3.077,18.811
2.204,18.779
2.193,19.336
2.324,19.382
3.342,19.477
3.776,19.513
3.139,18.530
2.223,18.534
3.467,19.955
2.976,18.430
3.602,19.226
2.697,18.965
3.997,18.747
3.896,18.441
3.261,19.151
2.291,19.860
2.916,19.285
2.097,19.312
3.485,18.200
3.301,18.399
2.469,19.464
3.989,19.508
3.787,19.095
3.784,19.738
3.232,19.440
3.462,18.304
3.512,18.306
2.809,19.229
3.434,19.660
3.772,18.127
2.790,19.207
2.976,18.903
3.524,19.158
2.671,19.166
2.721,19.499
2.163,18.191
5.994,0.089
4.793,0.216
4.830,0.868
4.539,0.906
4.450,0.523
5.283,1.786
5.758,0.899
4.823,0.464
5.929,1.479
4.683,1.446
5.207,1.243
5.788,1.365
4.471,0.218
5.063,1.431
5.136,0.030
5.022,0.917
5.942,1.779
5.405,0.492
4.207,0.533
4.933,1.214
4.098,0.772
4.233,1.996
5.480,0.082
4.009,1.361
5.913,1.413
5.502,0.282
5.357,1.226
5.326,1.952
4.142,1.815
5.723,1.257
5.778,1.150
4.304,1.797
5.148,0.526
4.351,1.251
5.669,1.341
5.717,0.897
5.966,1.320
5.418,0.116
5.632,1.494
5.948,1.671
4.628,0.235
4.411,0.584
5.896,1.685
4.500,0.432
5.732,0.862
4.411,1.857
5.507,0.780
4.749,1.116
5.261,1.882
5.473,3.472
4.777,3.100
5.960,3.256
4.655,2.860
5.255,3.391
4.980,3.337
4.537,2.209
4.130,2.280
4.908,2.361
5.293,3.714
4.532,3.635
5.250,3.834
4.205,2.508
4.994,3.402
5.408,2.219
4.744,2.964
5.922,2.198
4.909,2.186
5.041,2.652
5.581,3.648
5.476,3.128
4.103,2.375
5.982,2.854
5.287,3.443
5.802,3.686
5.831,2.966
4.960,3.455
5.515,2.768
5.489,2.548
4.726,2.062
5.645,3.516
4.869,2.449
4.165,2.531
5.251,3.535
4.652,2.509
4.970,3.504
5.124,2.696
5.393,3.934
4.803,2.545
5.778,3.185
5.213,2.695
5.603,3.660
5.630,2.847
4.163,3.265
5.965,3.377
4.999,2.369
5.135,2.477
5.724,2.578
5.979,3.640
4.805,4.643
4.797,5.315
5.862,5.808
4.555,5.527
5.051,5.905
5.834,5.285
4.096,4.527
4.577,5.585
4.516,4.574
4.704,5.829
5.637,4.487
4.644,4.460
5.922,4.491
5.867,5.636
4.207,5.155
4.455,4.752
4.383,5.574
5.793,4.618
4.108,5.504
5.439,5.117
5.096,4.737
4.219,4.138
5.546,4.055
4.640,4.617
4.290,5.052
4.654,5.481
5.197,5.159
5.852,5.321
5.420,5.163
4.144,4.589
4.029,5.544
5.995,5.159
4.610,4.950
4.270,5.031
4.374,5.099
4.754,5.022
5.355,5.447
5.415,5.232
4.247,5.914
5.461,4.113
4.456,4.998
4.267,5.948
4.913,5.569
5.224,5.549
5.225,5.679
4.578,5.996
5.715,4.676
4.315,4.215
5.926,5.958
5.169,6.228
4.137,6.662
4.796,6.862
5.469,7.609
5.193,7.756
5.127,7.815
4.412,6.458
4.358,6.879
4.641,6.434
5.669,7.567
5.712,6.796
4.886,7.898
4.095,7.577
4.601,7.039
4.442,7.337
4.579,6.345
5.744,6.945
5.686,7.824
5.171,6.319
4.892,7.364
5.636,7.964
5.931,7.029
4.176,6.101
5.154,7.725
5.185,7.207
5.161,6.566
5.577,6.774
5.763,6.239
5.936,6.115
4.836,6.688
4.717,6.004
4.634,6.423
5.564,6.982
4.122,7.778
4.795,7.137
4.890,7.413
5.137,7.170
5.212,6.391
4.750,7.552
5.812,7.129
5.624,7.598
5.896,7.540
4.394,7.260
5.028,7.687
5.650,7.458
5.381,7.237
4.793,7.757
5.966,7.066
4.506,7.200
5.362,9.282
5.901,9.124
4.543,9.020
4.405,9.752
4.340,8.298
5.444,9.383
5.114,9.244
5.993,10.000
5.196,9.028
5.050,8.091
5.665,9.785
5.102,8.514
4.011,9.867
5.635,8.200
4.262,9.709
4.763,9.525
4.130,8.653
4.032,8.150
4.740,8.013
4.460,9.149
5.493,8.709
4.879,8.229
5.654,8.790
4.640,9.869
5.194,9.129
5.745,9.170
4.473,8.643
4.468,9.254
5.311,9.316
5.521,8.999
5.023,8.351
4.840,8.942
5.969,9.774
4.044,8.147
4.185,8.779
4.634,9.865
5.665,9.147
4.988,8.789
5.839,9.044
4.225,9.722
4.836,9.506
5.991,8.458
4.060,8.931
4.237,8.711
4.681,9.888
4.041,9.885
5.562,9.553
5.553,9.501
5.228,8.088
4.106,11.108
5.395,10.271
4.573,11.463
4.660,10.695
5.020,11.823
5.889,11.850
5.723,11.140
5.879,11.384
4.613,11.982
4.850,11.881
5.209,10.982
4.331,11.449
4.098,10.647
5.006,10.439
4.031,10.315
5.074,10.602
5.697,11.092
4.699,10.002
4.233,10.572
5.097,10.002
5.531,10.153
5.835,11.612
4.417,10.767
4.896,11.550
5.748,11.830
5.077,11.288
4.500,11.226
5.287,11.428
5.907,11.141
4.290,10.695
5.717,11.557
5.482,11.884
5.613,10.218
4.236,10.051
5.885,10.881
4.406,11.275
4.395,10.664
5.521,11.298
5.908,10.308
5.268,10.355
4.846,10.154
4.789,11.512
5.534,11.663
5.384,10.814
4.997,11.282
4.167,10.568
4.365,10.463
5.242,10.065
5.958,10.667
5.962,13.055
4.111,13.142
4.828,12.288
4.796,12.305
4.605,12.437
4.105,12.531
5.193,13.712
4.668,13.166
5.845,13.472
4.051,13.578
5.271,12.161
4.207,13.050
5.199,12.871
4.041,13.334
5.958,12.841
4.151,12.686
5.642,12.216
5.807,13.172
5.421,12.374
5.229,12.086
4.554,13.122
5.231,13.266
5.677,13.095
5.290,13.143
5.918,12.651
4.102,13.317
4.410,13.586
5.691,12.486
5.762,12.977
5.126,13.532
4.042,13.466
4.924,12.580
4.854,13.299
4.180,13.847
4.050,12.431
5.504,13.078
4.652,12.007
5.822,13.406
4.543,13.542
4.099,12.422
4.493,13.094
4.051,12.288
5.075,12.765
4.913,13.694
4.043,12.821
4.311,13.480
4.722,12.760
4.319,12.720
4.990,12.630
4.749,15.107
5.397,14.918
4.743,14.419
5.992,14.310
4.727,14.908
4.423,15.653
5.794,15.405
4.866,15.410
4.574,14.962
4.352,14.940
4.652,14.841
4.043,14.903
4.600,14.665
4.038,15.104
5.693,15.538
5.254,15.099
5.348,15.954
4.953,15.857
5.379,15.305
5.480,15.811
5.105,14.789
4.763,15.591
4.389,14.556
4.149,14.769
4.660,14.874
4.140,14.915
4.997,14.156
5.575,14.283
5.311,15.637
4.842,14.442
5.714,15.527
4.661,14.156
4.121,14.454
5.025,14.833
5.160,14.996
5.837,14.851
4.431,15.130
5.821,15.081
5.206,14.399
5.263,14.904
5.610,14.619
5.150,15.053
5.353,15.930
4.265,14.585
4.072,14.007
4.797,14.280
4.362,15.246
4.040,15.817
5.527,15.734
4.730,16.992
5.144,16.816
5.595,16.336
4.489,17.073
4.668,17.410
4.884,17.523
4.942,16.109
5.038,17.856
4.907,17.285
4.433,16.517
5.550,17.994
4.827,16.450
4.382,17.688
4.932,17.314
4.032,16.657
4.334,17.984
5.998,17.044
5.702,16.150
5.096,17.733
5.378,16.825
5.189,17.429
5.373,16.580
5.736,17.244
4.871,17.307
5.746,17.101
4.266,16.334
4.682,17.261
5.828,16.703
4.886,17.296
4.030,16.413
5.092,17.816
5.626,16.456
5.571,17.261
4.520,16.445
4.498,17.071
5.508,17.654
4.077,17.549
5.934,16.283
4.003,17.728
5.346,16.754
4.817,17.554
4.193,17.860
4.722,17.694
5.643,17.564
4.411,17.298
5.573,17.288
5.484,16.996
4.797,17.465
5.005,17.478
4.593,19.211
5.771,18.944
5.603,19.889
4.842,19.747
5.142,19.406
5.915,19.545
5.015,19.045
4.081,19.259
4.865,19.635
4.547,19.169
5.152,18.897
5.872,19.451
4.793,18.745
5.288,18.461
5.555,18.389
4.668,19.091
4.231,18.022
4.695,18.505
4.698,18.924
5.804,19.560
4.885,18.790
5.458,19.240
4.742,18.087
4.313,18.395
4.249,18.265
4.845,18.121
5.545,19.624
4.994,19.074
4.234,19.656
4.394,19.037
5.920,19.668
5.739,19.060
5.055,18.513
4.865,19.472
4.141,19.215
4.097,18.088
4.362,19.335
4.429,19.920
5.703,18.853
5.098,18.702
5.622,18.416
4.115,19.548
4.329,19.734
4.319,19.047
5.751,18.950
4.507,18.114
4.225,18.804
4.212,19.907
6.000,18.381
7.689,0.125
7.594,0.280
7.667,1.993
6.086,0.003
6.438,1.256
7.388,1.375
6.835,1.484
7.574,0.816
6.671,1.012
7.319,0.274
7.198,1.815
6.512,1.624
7.142,1.643
7.114,0.362
6.892,1.716
7.311,1.387
6.385,1.306
7.029,0.699
7.271,1.501
7.880,1.822
6.907,1.481
7.597,0.750
6.736,1.607
6.009,0.258
6.639,0.636
6.644,1.358
7.796,1.385
6.999,0.734
7.629,0.139
7.546,1.969
7.395,0.135
6.548,1.353
7.984,0.420
6.731,0.116
6.481,0.399
6.883,1.879
7.071,1.391
6.443,1.137
6.825,1.499
6.141,1.595
7.956,1.107
6.748,0.158
7.089,1.324
7.005,1.401
7.107,0.677
6.790,0.316
6.153,0.372
6.583,0.164
7.332,1.434
7.300,3.235
7.680,2.037
7.544,3.325
7.977,2.344
6.355,3.757
7.938,3.150
6.499,3.744
6.374,3.672
6.384,2.913
6.868,2.765
7.636,2.805
6.531,2.898
6.428,3.154
6.409,3.200
7.599,3.770
7.084,2.878
7.645,3.826
6.064,3.329
7.625,3.374
6.485,2.258
6.069,2.893
7.724,2.114
6.923,3.683
7.454,2.143
6.619,2.922
7.733,2.400
7.311,2.193
6.667,3.003
6.356,3.300
6.216,2.954
7.094,2.179
7.711,3.844
6.989,2.717
7.641,2.748
6.201,3.301
7.269,3.619
6.637,3.892
6.644,3.506
6.566,2.455
6.572,2.893
6.833,2.545
7.101,2.487
7.760,2.870
6.094,3.756
6.781,2.629
6.443,3.529
7.876,3.464
7.493,3.987
6.870,3.804
7.231,4.333
7.659,4.446
6.811,5.471
7.424,5.162
7.973,4.005
7.892,5.163
6.917,4.859
6.716,5.209
7.198,4.845
6.027,4.206
7.202,4.483
6.223,4.083
6.771,4.386
6.066,5.761
6.526,5.525
7.133,4.041
6.469,5.683
7.699,4.208
7.411,5.422
6.105,4.175
7.797,5.851
6.681,4.973
7.489,5.538
6.275,5.398
7.063,4.854
6.468,5.635
6.195,5.075
7.515,5.664
7.691,4.547
7.100,5.268
6.715,5.236
7.941,5.446
7.799,5.962
7.333,4.051
7.177,5.642
6.669,5.465
7.015,4.847
6.021,5.116
7.101,4.992
7.826,4.664
6.548,5.459
6.751,4.649
7.090,5.982
7.802,4.436
6.509,4.596
7.723,4.244
7.781,4.464
7.767,5.099
6.481,5.894
6.886,7.501
6.032,6.864
7.418,6.626
7.338,6.360
6.317,6.882
6.378,7.845
7.997,7.617
6.319,7.165
7.858,6.807
7.715,6.219
6.541,6.527
7.343,6.680
7.995,7.013
7.254,7.113
7.395,7.145
6.585,7.767
7.995,6.147
7.712,6.385
6.965,6.319
7.291,7.318
7.283,7.625
7.758,7.282
7.731,7.931
7.852,6.043
6.081,7.728
7.710,7.362
7.503,7.127
7.123,6.509
7.287,7.959
6.479,7.651
7.924,6.788
6.994,7.432
7.609,7.639
7.762,6.060
6.236,6.264
6.208,6.211
7.947,6.761
7.492,7.052
6.283,6.345
7.436,7.722
7.027,7.094
6.531,7.551
6.769,6.488
7.591,7.354
6.283,7.531
6.613,7.106
6.765,6.297
7.404,6.300
7.991,7.690
7.544,8.312
6.471,9.245
6.241,9.092
6.649,9.771
7.643,9.467
7.219,8.656
6.174,9.397
7.614,8.650
7.442,9.486
6.735,9.926
7.303,8.050
6.980,8.238
6.625,9.072
7.641,9.001
6.323,9.346
6.716,8.077
6.229,8.123
7.220,9.109
6.349,9.578
7.043,8.195
6.087,9.398
6.419,9.727
7.980,9.825
6.073,8.203
7.522,8.434
6.108,9.817
7.626,8.995
6.687,8.654
7.297,9.704
6.587,9.295
7.073,9.109
6.670,8.638
6.803,9.038
6.348,8.763
6.307,8.845
6.094,9.637
6.510,8.284
6.074,9.483
7.582,9.323
7.948,9.623
7.663,8.219
7.909,9.602
6.741,8.146
6.026,9.414
7.222,9.718
7.953,8.634
7.787,9.689
6.055,9.274
6.062,9.166
6.030,10.180
6.702,11.636
6.079,11.763
6.415,10.121
6.690,10.909
6.518,11.775
6.095,10.841
6.568,11.231
7.469,11.783
7.640,11.027
6.930,11.215
6.809,10.394
6.397,11.535
7.409,10.747
6.380,11.948
6.617,11.176
6.755,10.392
6.931,10.254
6.589,10.304
7.113,11.472
7.082,10.055
7.142,10.622
6.681,11.852
6.754,10.423
6.434,11.926
6.128,10.722
6.646,10.818
6.275,11.576
6.894,11.580
7.700,11.510
6.472,10.686
6.890,10.302
